Region,Country,Date,Measure,Value,New,Population
All,Germany,2020-01-07,Cases,1,NA,83166711
All,Germany,2020-01-08,Cases,1,0,83166711
All,Germany,2020-01-09,Cases,1,0,83166711
All,Germany,2020-01-10,Cases,1,0,83166711
All,Germany,2020-01-11,Cases,1,0,83166711
All,Germany,2020-01-12,Cases,1,0,83166711
All,Germany,2020-01-13,Cases,1,0,83166711
All,Germany,2020-01-14,Cases,1,0,83166711
All,Germany,2020-01-15,Cases,1,0,83166711
All,Germany,2020-01-16,Cases,1,0,83166711
All,Germany,2020-01-17,Cases,1,0,83166711
All,Germany,2020-01-18,Cases,1,0,83166711
All,Germany,2020-01-19,Cases,2,1,83166711
All,Germany,2020-01-20,Cases,2,0,83166711
All,Germany,2020-01-21,Cases,2,0,83166711
All,Germany,2020-01-22,Cases,2,0,83166711
All,Germany,2020-01-23,Cases,3,1,83166711
All,Germany,2020-01-24,Cases,3,0,83166711
All,Germany,2020-01-25,Cases,4,1,83166711
All,Germany,2020-01-26,Cases,4,0,83166711
All,Germany,2020-01-27,Cases,4,0,83166711
All,Germany,2020-01-28,Cases,6,2,83166711
All,Germany,2020-01-29,Cases,8,2,83166711
All,Germany,2020-01-30,Cases,8,0,83166711
All,Germany,2020-01-31,Cases,13,5,83166711
All,Germany,2020-02-01,Cases,13,0,83166711
All,Germany,2020-02-02,Cases,13,0,83166711
All,Germany,2020-02-03,Cases,14,1,83166711
All,Germany,2020-02-04,Cases,18,4,83166711
All,Germany,2020-02-05,Cases,18,0,83166711
All,Germany,2020-02-06,Cases,19,1,83166711
All,Germany,2020-02-07,Cases,20,1,83166711
All,Germany,2020-02-08,Cases,20,0,83166711
All,Germany,2020-02-09,Cases,20,0,83166711
All,Germany,2020-02-10,Cases,20,0,83166711
All,Germany,2020-02-11,Cases,22,2,83166711
All,Germany,2020-02-12,Cases,24,2,83166711
All,Germany,2020-02-13,Cases,24,0,83166711
All,Germany,2020-02-14,Cases,24,0,83166711
All,Germany,2020-02-15,Cases,24,0,83166711
All,Germany,2020-02-16,Cases,24,0,83166711
All,Germany,2020-02-17,Cases,25,1,83166711
All,Germany,2020-02-18,Cases,26,1,83166711
All,Germany,2020-02-19,Cases,26,0,83166711
All,Germany,2020-02-20,Cases,29,3,83166711
All,Germany,2020-02-21,Cases,29,0,83166711
All,Germany,2020-02-22,Cases,29,0,83166711
All,Germany,2020-02-23,Cases,29,0,83166711
All,Germany,2020-02-24,Cases,30,1,83166711
All,Germany,2020-02-25,Cases,33,3,83166711
All,Germany,2020-02-26,Cases,40,7,83166711
All,Germany,2020-02-27,Cases,64,24,83166711
All,Germany,2020-02-28,Cases,112,48,83166711
All,Germany,2020-02-29,Cases,134,22,83166711
All,Germany,2020-03-01,Cases,170,36,83166711
All,Germany,2020-03-02,Cases,210,40,83166711
All,Germany,2020-03-03,Cases,295,85,83166711
All,Germany,2020-03-04,Cases,451,156,83166711
All,Germany,2020-03-05,Cases,637,186,83166711
All,Germany,2020-03-06,Cases,823,186,83166711
All,Germany,2020-03-07,Cases,965,142,83166711
All,Germany,2020-03-08,Cases,1067,102,83166711
All,Germany,2020-03-09,Cases,1412,345,83166711
All,Germany,2020-03-10,Cases,2011,599,83166711
All,Germany,2020-03-11,Cases,2768,757,83166711
All,Germany,2020-03-12,Cases,3760,992,83166711
All,Germany,2020-03-13,Cases,5216,1456,83166711
All,Germany,2020-03-14,Cases,6520,1304,83166711
All,Germany,2020-03-15,Cases,7499,979,83166711
All,Germany,2020-03-16,Cases,9542,2043,83166711
All,Germany,2020-03-17,Cases,12580,3038,83166711
All,Germany,2020-03-18,Cases,16195,3615,83166711
All,Germany,2020-03-19,Cases,20257,4062,83166711
All,Germany,2020-03-20,Cases,24314,4057,83166711
All,Germany,2020-03-21,Cases,27676,3362,83166711
All,Germany,2020-03-22,Cases,29942,2266,83166711
All,Germany,2020-03-23,Cases,33672,3730,83166711
All,Germany,2020-03-24,Cases,38553,4881,83166711
All,Germany,2020-03-25,Cases,44233,5680,83166711
All,Germany,2020-03-26,Cases,50138,5905,83166711
All,Germany,2020-03-27,Cases,56120,5982,83166711
All,Germany,2020-03-28,Cases,60846,4726,83166711
